point,type,granularity,"capacity (kW)","volume (kWh)","emission (kg CO2)","emissionfactor (kg CO2/kWh)","validfrom (UTC)","validto (UTC)","lastupdate (UTC)"
Nederland,ElectricityMix,Hour,3027000,3027000,0,0,"2024-12-31 23:00:00","2025-01-01 00:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,2893250,2893250,0,0,"2025-01-01 00:00:00","2025-01-01 01:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,3126250,3126250,0,0,"2025-01-01 01:00:00","2025-01-01 02:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,3010000,3010000,0,0,"2025-01-01 02:00:00","2025-01-01 03:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,2752500,2752500,0,0,"2025-01-01 03:00:00","2025-01-01 04:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,2720750,2720750,0,0,"2025-01-01 04:00:00","2025-01-01 05:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,2694250,2694250,0,0,"2025-01-01 05:00:00","2025-01-01 06:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,2773250,2773250,0,0,"2025-01-01 06:00:00","2025-01-01 07:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,2054750,2054750,0,0,"2025-01-01 07:00:00","2025-01-01 08:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1815000,1815000,0,0,"2025-01-01 08:00:00","2025-01-01 09:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,991500,991500,0,0,"2025-01-01 09:00:00","2025-01-01 10:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,379500,379500,0,0,"2025-01-01 10:00:00","2025-01-01 11:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,94000,94000,0,0,"2025-01-01 11:00:00","2025-01-01 12:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,106500,106500,0,0,"2025-01-01 12:00:00","2025-01-01 13:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,493000,493000,0,0,"2025-01-01 13:00:00","2025-01-01 14:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1067000,1067000,0,0,"2025-01-01 14:00:00","2025-01-01 15:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1417750,1417750,0,0,"2025-01-01 15:00:00","2025-01-01 16:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1736750,1736750,0,0,"2025-01-01 16:00:00","2025-01-01 17:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1832250,1832250,0,0,"2025-01-01 17:00:00","2025-01-01 18:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1818000,1818000,0,0,"2025-01-01 18:00:00","2025-01-01 19:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1673750,1673750,0,0,"2025-01-01 19:00:00","2025-01-01 20:00:00","2026-01-28 08:22:44"
Nederland,ElectricityMix,Hour,1417000,1417000,0,0,"2025-01-01 20:00:00","2025-01-01 21:00:00","2026-01-28 08:22:44"
